region,id
Africa,AGO
Africa,BDI
Africa,BEN
Africa,BFA
Africa,BWA
Africa,CAF
Africa,CIV
Africa,CMR
Africa,COD
Africa,COG
Africa,COM
Africa,CPV
Africa,DJI
Africa,DZA
Africa,EGY
Africa,ERI
Africa,ETH
Africa,GAB
Africa,GHA
Africa,GIN
Africa,GMB
Africa,GNB
Africa,GNQ
Africa,KEN
Africa,LBR
Africa,LBY
Africa,LSO
Africa,MAR
Africa,MDG
Africa,MLI
Africa,MOZ
Africa,MRT
Africa,MWI
Africa,NAM
Africa,NER
Africa,NGA
Africa,RWA
Africa,ESH
Africa,SDN
Africa,SSD
Africa,SEN
Africa,SLE
Africa,-99
Africa,SOM
Africa,STP
Africa,SWZ
Africa,TCD
Africa,TGO
Africa,TUN
Africa,TZA
Africa,UGA
Africa,ZAF
Africa,ZMB
Africa,ZWE
Antarctica,ATA
Asia,AFG
Asia,ARE
Asia,ARM
Asia,AZE
Asia,BGD
Asia,BHR
Asia,BRN
Asia,BTN
Asia,CHN
Asia,-99
Asia,CYP
Asia,GEO
Asia,HKG
Asia,IDN
Asia,IND
Asia,-99
Asia,IRN
Asia,IRQ
Asia,ISR
Asia,JOR
Asia,JPN
Asia,-99
Asia,KAZ
Asia,KGZ
Asia,KHM
Asia,KOR
Asia,KWT
Asia,LAO
Asia,LBN
Asia,LKA
Asia,MAC
Asia,MMR
Asia,MNG
Asia,MYS
Asia,NPL
Asia,OMN
Asia,PAK
Asia,PHL
Asia,PRK
Asia,PSE
Asia,QAT
Asia,SAU
Asia,SGP
Asia,SYR
Asia,THA
Asia,TJK
Asia,TKM
Asia,TLS
Asia,TUR
Asia,TWN
Asia,UZB
Asia,VNM
Asia,YEM
Europe,ALB
Europe,ALA
Europe,AND
Europe,AUT
Europe,BEL
Europe,BGR
Europe,BIH
Europe,BLR
Europe,CHE
Europe,CZE
Europe,DEU
Europe,DNK
Europe,ESP
Europe,EST
Europe,FIN
Europe,FRA
Europe,FRO
Europe,GBR
Europe,GGY
Europe,GRC
Europe,HRV
Europe,HUN
Europe,IMN
Europe,IRL
Europe,ISL
Europe,ITA
Europe,JEY
Europe,-99
Europe,LIE
Europe,LTU
Europe,LUX
Europe,LVA
Europe,MCO
Europe,MDA
Europe,MKD
Europe,MLT
Europe,MNE
Europe,NLD
Europe,NOR
Europe,POL
Europe,PRT
Europe,ROU
Europe,RUS
Europe,SMR
Europe,SRB
Europe,SVK
Europe,SVN
Europe,SWE
Europe,UKR
Europe,VAT
North America,ABW
North America,AIA
North America,ATG
North America,BHS
North America,BLM
North America,BLZ
North America,BMU
North America,BRB
North America,CAN
North America,CRI
North America,CUB
North America,CUW
North America,CYM
North America,DMA
North America,DOM
North America,GRD
North America,GRL
North America,GTM
North America,HND
North America,HTI
North America,JAM
North America,KNA
North America,LCA
North America,MAF
North America,MEX
North America,MSR
North America,NIC
North America,PAN
North America,PRI
North America,SLV
North America,SPM
North America,SXM
North America,TCA
North America,TTO
North America,USA
North America,VCT
North America,VGB
North America,VIR
Oceania,ASM
Oceania,-99
Oceania,AUS
Oceania,COK
Oceania,FJI
Oceania,FSM
Oceania,GUM
Oceania,KIR
Oceania,MHL
Oceania,MNP
Oceania,NCL
Oceania,NFK
Oceania,NIU
Oceania,NRU
Oceania,NZL
Oceania,PCN
Oceania,PLW
Oceania,PNG
Oceania,PYF
Oceania,SLB
